"Site","Site_type","Transect","Plant_sp","Plot_Cover","Relative_cover_transect","Floral_simpson_index","Floral_shannon_index","Floral_species_richness","average_flower_cover"
"DES","Reference","T3","ranunculus sp",12.9,0.00775193798449612,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","ranunculus sp",12.9,0.00775193798449612,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","ranunculus sp",12.9,0.00775193798449612,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Trifolium pratense",12.9,0.134402201232902,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Trifolium pratense",12.9,0.134402201232902,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Trifolium pratense",12.9,0.134402201232902,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Agrimonia eupatoria",29.3,0.00341296928327645,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Agrimonia eupatoria",29.3,0.00341296928327645,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Agrimonia eupatoria",29.3,0.00341296928327645,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Campanula rotundifolia",29.3,0.00853242320819113,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Campanula rotundifolia",29.3,0.00853242320819113,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Campanula rotundifolia",29.3,0.00853242320819113,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Cerastium fontanum",29.3,0.00341296928327645,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Cerastium fontanum",29.3,0.00341296928327645,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Cerastium fontanum",29.3,0.00341296928327645,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Crepis biennis",29.3,0.00341296928327645,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Crepis biennis",29.3,0.00341296928327645,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Crepis biennis",29.3,0.00341296928327645,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Crepis capillaris",29.3,0.0111649072677726,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Crepis capillaris",29.3,0.0111649072677726,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Crepis capillaris",29.3,0.0111649072677726,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Daucus carota",29.3,0.126112301681791,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Daucus carota",29.3,0.126112301681791,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Daucus carota",29.3,0.126112301681791,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Dianthus deltoides",29.3,0.00341296928327645,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Dianthus deltoides",29.3,0.00341296928327645,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Dianthus deltoides",29.3,0.00341296928327645,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Galium album",29.3,0.0191285022620843,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Galium album",29.3,0.0191285022620843,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Galium album",29.3,0.0191285022620843,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Lotus corniculatus",29.3,0.27092097256396,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Lotus corniculatus",29.3,0.27092097256396,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Lotus corniculatus",29.3,0.27092097256396,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Plantago lanceolata",29.3,0.0292527625649302,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Plantago lanceolata",29.3,0.0292527625649302,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Plantago lanceolata",29.3,0.0292527625649302,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Trifolium pratense",29.3,0.134402201232902,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Trifolium pratense",29.3,0.134402201232902,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Trifolium pratense",29.3,0.134402201232902,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Trifolium repens",29.3,0.0113765642775882,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Trifolium repens",29.3,0.0113765642775882,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Trifolium repens",29.3,0.0113765642775882,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T3","Vicia cracca",29.3,0.00853242320819113,0.0425330812854443,0.104732439105087,16,29.3772727272727
"DES","Reference","T3","Vicia cracca",29.3,0.00853242320819113,0.0896303013977499,0.257502940070552,16,29.3772727272727
"DES","Reference","T3","Vicia cracca",29.3,0.00853242320819113,0.0417303580592571,0.137030441702872,16,29.3772727272727
"DES","Reference","T4","Daucus carota",8.3,0.148744443968043,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Daucus carota",8.3,0.148744443968043,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Daucus carota",8.3,0.148744443968043,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Lotus corniculatus",8.3,0.192635832802611,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Lotus corniculatus",8.3,0.192635832802611,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Lotus corniculatus",8.3,0.192635832802611,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Plantago lanceolata",8.3,0.0910960916838084,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Plantago lanceolata",8.3,0.0910960916838084,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Plantago lanceolata",8.3,0.0910960916838084,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Polygala serpyllifolia",8.3,0.0301204819277108,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Polygala serpyllifolia",8.3,0.0301204819277108,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Polygala serpyllifolia",8.3,0.0301204819277108,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Prunella vulgaris",8.3,0.0191656304935043,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Prunella vulgaris",8.3,0.0191656304935043,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Prunella vulgaris",8.3,0.0191656304935043,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","ranunculus sp",8.3,0.0545107258301499,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","ranunculus sp",8.3,0.0545107258301499,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","ranunculus sp",8.3,0.0545107258301499,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Trifolium pratense",8.3,0.188746479712793,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Trifolium pratense",8.3,0.188746479712793,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Trifolium pratense",8.3,0.188746479712793,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Trifolium repens",8.3,0.185346890556759,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Trifolium repens",8.3,0.185346890556759,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Trifolium repens",8.3,0.185346890556759,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Crepis biennis",14.05,0.0237247924080664,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Crepis biennis",14.05,0.0237247924080664,0.104233586216017,0.302280704718273,12,29.3772727272727
"DES","Reference","T4","Crepis biennis",14.05,0.0237247924080664,0.276352514853829,0.672061877220274,12,29.3772727272727
"DES","Reference","T4","Crepis capillaris",14.05,0.0177935943060498,0.186242332369108,0.507154185246254,12,29.3772727272727
"DES","Reference","T4","Crepis capillaris",14.05,0.0177935943060498,0.104233586216017,0.302280704718273,12,29.3772727272727
