taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
10104398	BOLD:ACU7858	10104398	BOLD:ACU7858	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457							
10024461	BOLD:AAA2642	10024461	BOLD:AAA2642	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Eulophidae	5505	Pediobius	11101122	Pediobius saulius	1388803	
1291875	Olesicampe proterva (Brischke, 1880)	1291875	Olesicampe proterva (Brischke, 1880)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Ichneumonidae	3512	Olesicampe	1291826	Olesicampe proterva	1291875	NE
1285321	Cycasis rubiginosa (Gravenhorst, 1829)	1285321	Cycasis rubiginosa (Gravenhorst, 1829)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Ichneumonidae	3512	Cycasis	1285319	Cycasis rubiginosa	1285321	NE
10512459	BOLD:AAP2740	10512459	BOLD:AAP2740	4	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena humilis	1357477	
9848238	BOLD:ACQ8790	9848238	BOLD:ACQ8790	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Pteromalidae	9447					
10423239	BOLD:AAG3519	10423239	BOLD:AAG3519	6	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Cimbicidae	7904	Trichiosoma	3259206			
10249716	BOLD:ABX2381	10249716	BOLD:ABX2381	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Dryinidae	4340	Lonchodryinus	4407178			
10103524	BOLD:AAY4173	10103524	BOLD:AAY4173	9	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Pompilidae	7913	Evagetes	3259139	Evagetes alamannicus	4505473	
10479394	BOLD:ACQ8597	10479394	BOLD:ACQ8597	6	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Rhysipolis	1261861			
