taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9894749	BOLD:ABY9726	9894749	BOLD:ABY9726	15	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Argyresthiidae	4525465	Argyresthia	1830118	Argyresthia semitestacella	1830145	
10415551	BOLD:AAE0738	10415551	BOLD:AAE0738	8	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gracillariidae	5487	Callisto	1749042			
9831568	BOLD:AAD5428	9831568	BOLD:AAD5428	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Pammene	1744761	Pammene germmana	1744822	
10395701	BOLD:ACF5197	10395701	BOLD:ACF5197	11	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Lacanobia	1759029	Lacanobia suasa	4533952	
10351708	BOLD:AAF7132	10351708	BOLD:AAF7132	5	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Paratalanta	1881825	Paratalanta hyalinalis	4531975	
9974568	BOLD:AAD4156	9974568	BOLD:AAD4156	5	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Adelidae	4538	Nematopogon	1861151	Nematopogon metaxella	4522922	
1743615	Epiblema similana (Denis & Schiffermüller), 1775	1743615	Epiblema similana (Denis & Schiffermüller), 1775	31	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Epiblema	1743516	Epiblema similana	1743615	NE
9840966	BOLD:AAK5525	9840966	BOLD:AAK5525	7	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Hoplodrina	1784809	Hoplodrina superstes	1784824	
10250327	BOLD:AAV7875	10250327	BOLD:AAV7875	3	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Sedina	1770569	Sedina buettneri	1770573	
9926079	BOLD:AAA3963	9926079	BOLD:AAA3963	45	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Operophtera	1972425	Operophtera brumata	1972449	
9856866	BOLD:ABX5443	9856866	BOLD:ABX5443	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Eupithecia	1982367	Eupithecia extraversaria	1982404	
10359742	BOLD:AAF3598	10359742	BOLD:AAF3598	5	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Isturgia	1987555	Isturgia limbaria	1987578	
1741348	Notocelia tetragonana (Stephens, 1834)	1741348	Notocelia tetragonana (Stephens, 1834)	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Notocelia	1741338	Notocelia tetragonana	1741348	NE
